SCIENTIFIC NAME	PHISICAL SPECIMEN ID	ORGANIZATION	SPECIMEN TYPE	MODIFIED	LICENSE	LOCATION QUALITATIVE [QUANTITATIVE]	GEOLOGICAL AGE	COLLECTING NUMBER	COLLECTING AGENT	DATE COLLECTED	TYPE STATUS (Optional)	MEDIA
Cochlostoma septemspirale (Razoumowsky, 1789)	49955	NHM Vienna	PRESERVED SPECIMEN	10/18/2022		Schweiz, Kanton Vaud, Straße Chamby-souzier, oberhalb Vevey am Genfer See			Thaler	25.3.1962		
Cochlostoma septemspirale (Razoumowsky, 1789)	49959	NHM Vienna	PRESERVED SPECIMEN	10/18/2022		Schweiz, Kanton Vaud, Montreux - Les Planches			Thaler	9.9.1961		
Cochlostoma septemspirale (Razoumowsky, 1789)	64078	NHM Vienna	PRESERVED SPECIMEN	10/18/2022		Schweiz, Schweizer Jura, Delement			Seidl	22.5.1971		
Cochlostoma septemspirale (Razoumowsky, 1789)	49985	NHM Vienna	PRESERVED SPECIMEN	10/18/2022		Schweiz, Kanton Vaud, Gorges du Chauderon bei Montreux			Thaler	5.1962		
Cochlostoma septemspirale (Razoumowsky, 1789)	49967	NHM Vienna	PRESERVED SPECIMEN	10/18/2022		Schweiz, Kanton Vaud, Weg von Veytaux nach Chillon, bei Montreux			Thaler	4/5.1962		
Cochlostoma septemspirale (Razoumowsky, 1789)	49982	NHM Vienna	PRESERVED SPECIMEN	10/18/2022		Frankreich, Dep. Doubs, Soucre du Lizon bei Nans-sous-Sainte-Anne			Thaler	19.5.1962		
Cochlostoma septemspirale (Razoumowsky, 1789)	45686	NHM Vienna	PRESERVED SPECIMEN	10/18/2022		Frankreich, Dep. Gard, Pont du Gard				17.3.1961		
Cochlostoma septemspirale (Razoumowsky, 1789)	69393	NHM Vienna	PRESERVED SPECIMEN	10/18/2022		Frankreich, Lyon						
Cochlostoma septemspirale (Razoumowsky, 1789)	7767	NHM Vienna	PRESERVED SPECIMEN	10/18/2022		Frankreich, Arcy-sur-Cure, nördl. Avallon			Klemm	3.1941		
Cochlostoma septemspirale (Razoumowsky, 1789)	7601	NHM Vienna	PRESERVED SPECIMEN	10/18/2022		Frankreich, Dep. Vasqes, Neufchateau nw von Nancy			Klemm	2.1941		
Cochlostoma septemspirale (Razoumowsky, 1789)	45704	NHM Vienna	PRESERVED SPECIMEN	10/18/2022		Frankreich, Dep. Gard, Macchia an der Straße zum Pont du Gard				17.3.1961		
Cochlostoma septemspirale (Razoumowsky, 1789)	29059	NHM Vienna	PRESERVED SPECIMEN	10/18/2022		Schweiz, Montreux - Glion			Blume			
Cochlostoma septemspirale (Razoumowsky, 1789)	47212	NHM Vienna	PRESERVED SPECIMEN	10/18/2022		Deutschland, Niederbayern, Kelheim			Klemm	8.4.1962		
Cochlostoma septemspirale (Razoumowsky, 1789)	29818	NHM Vienna	PRESERVED SPECIMEN	10/18/2022		Deutschland, Bayern, Schellenberg			Barthelmes	2.7.1951		
Cochlostoma septemspirale (Razoumowsky, 1789)	58529	NHM Vienna	PRESERVED SPECIMEN	10/18/2022		Deutschland, Niederbayern, Kelheim			Paget	8.4.1962		
Cochlostoma septemspirale (Razoumowsky, 1789)	15187	NHM Vienna	PRESERVED SPECIMEN	10/18/2022		Österreich, Tirol, Kitzbühel						
Cochlostoma septemspirale (Razoumowsky, 1789)	33376	NHM Vienna	PRESERVED SPECIMEN	10/18/2022		Deutschland, Bayern, Schellenberg bei Berchtesgaden			Häßlein	21.7.1927		
Cochlostoma septemspirale (Razoumowsky, 1789)	48274	NHM Vienna	PRESERVED SPECIMEN	10/18/2022		Deutschland, Niederbayern, Kelheim, unterhalb der Befreiungshalle			Fauer	22.5.1960		
